Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0,MBP
12:33:17.763,1.843449,12:33:17.763,41.284459,12:33:17.763,0.003626,65
12:33:17.764,1.792797,12:33:17.764,41.115619,12:33:17.764,0.002969,65
12:33:17.765,1.843449,12:33:17.765,41.183155,12:33:17.765,0.00264,65
12:33:17.766,1.792797,12:33:17.766,41.233807,12:33:17.766,0.002969,65
12:33:17.767,1.843449,12:33:17.767,41.183155,12:33:17.767,0.003297,65
12:33:17.768,1.910985,12:33:17.768,41.081851,12:33:17.768,0.004284,65
12:33:17.769,2.012289,12:33:17.769,41.115619,12:33:17.769,0.00264,65
12:33:17.770,1.927869,12:33:17.770,41.183155,12:33:17.770,0.002311,65
12:33:17.771,2.029173,12:33:17.771,41.250691,12:33:17.771,0.00264,65
12:33:17.772,2.096709,12:33:17.772,41.064967,12:33:17.772,0.000996,65
12:33:17.773,2.164245,12:33:17.773,40.997431,12:33:17.773,0.003626,65
12:33:17.774,2.130477,12:33:17.774,41.166271,12:33:17.774,0.00264,65
12:33:17.775,2.096709,12:33:17.775,41.098735,12:33:17.775,0.001653,65
12:33:17.776,2.198013,12:33:17.776,41.031199,12:33:17.776,0.003297,65
12:33:17.777,2.198013,12:33:17.777,40.946779,12:33:17.777,0.004941,65
12:33:17.778,2.231781,12:33:17.778,41.081851,12:33:17.778,0.002311,65
12:33:17.779,2.164245,12:33:17.779,41.014315,12:33:17.779,0.001982,65
12:33:17.780,2.231781,12:33:17.780,40.879243,12:33:17.780,0.004284,65
12:33:17.781,2.231781,12:33:17.781,40.929895,12:33:17.781,0.003626,65
12:33:17.782,2.181129,12:33:17.782,40.896127,12:33:17.782,0.004941,65
12:33:17.783,2.181129,12:33:17.783,40.980547,12:33:17.783,0.001325,65
12:33:17.784,2.214897,12:33:17.784,40.744171,12:33:17.784,0.002969,65
12:33:17.785,2.282433,12:33:17.785,40.794823,12:33:17.785,0.003626,65
12:33:17.786,2.198013,12:33:17.786,40.845475,12:33:17.786,0.003955,65
12:33:17.787,2.181129,12:33:17.787,40.879243,12:33:17.787,0.002311,65
12:33:17.788,2.164245,12:33:17.788,40.777939,12:33:17.788,0.00264,65
12:33:17.789,2.265549,12:33:17.789,40.609099,12:33:17.789,0.003297,65
12:33:17.790,2.214897,12:33:17.790,40.744171,12:33:17.790,0.002969,65
12:33:17.791,2.198013,12:33:17.791,40.727287,12:33:17.791,0.003297,65
12:33:17.792,2.265549,12:33:17.792,40.609099,12:33:17.792,0.001982,65
12:33:17.793,2.164245,12:33:17.793,40.490911,12:33:17.793,0.003955,65
12:33:17.794,2.130477,12:33:17.794,40.609099,12:33:17.794,0.002969,65
12:33:17.795,2.164245,12:33:17.795,40.558447,12:33:17.795,0.00264,65
12:33:17.796,2.181129,12:33:17.796,40.507795,12:33:17.796,0.003297,65
12:33:17.797,2.096709,12:33:17.797,40.440259,12:33:17.797,0.002311,65
12:33:17.798,2.046057,12:33:17.798,40.474027,12:33:17.798,0.003955,65
12:33:17.799,2.029173,12:33:17.799,40.541563,12:33:17.799,0.003626,65
12:33:17.800,2.181129,12:33:17.800,40.423375,12:33:17.800,0.002969,65
12:33:17.801,2.079825,12:33:17.801,40.355839,12:33:17.801,0.001982,65
12:33:17.802,2.147361,12:33:17.802,40.440259,12:33:17.802,0.002311,65
12:33:17.803,2.046057,12:33:17.803,40.440259,12:33:17.803,0.001653,65
12:33:17.804,2.096709,12:33:17.804,40.440259,12:33:17.804,0.003297,65
12:33:17.805,2.147361,12:33:17.805,40.406491,12:33:17.805,0.00264,65
12:33:17.806,2.198013,12:33:17.806,40.440259,12:33:17.806,0.002311,65
12:33:17.807,2.164245,12:33:17.807,40.490911,12:33:17.807,0.00264,65
12:33:17.808,2.181129,12:33:17.808,40.406491,12:33:17.808,0.003626,65
12:33:17.809,2.214897,12:33:17.809,40.389607,12:33:17.809,0.000996,65
12:33:17.810,2.181129,12:33:17.810,40.389607,12:33:17.810,0.003297,65
12:33:17.811,2.147361,12:33:17.811,40.440259,12:33:17.811,0.003955,65
12:33:17.812,2.198013,12:33:17.812,40.271419,12:33:17.812,0.003955,65
12:33:17.813,2.147361,12:33:17.813,40.237651,12:33:17.813,0.003297,65
12:33:17.814,2.113593,12:33:17.814,40.237651,12:33:17.814,0.001653,65
12:33:17.815,2.079825,12:33:17.815,40.288303,12:33:17.815,0.004284,65
12:33:17.816,2.062941,12:33:17.816,40.119463,12:33:17.816,0.003955,65
12:33:17.817,1.995405,12:33:17.817,40.051927,12:33:17.817,0.003626,65
12:33:17.818,1.944753,12:33:17.818,40.186999,12:33:17.818,0.002969,65
12:33:17.819,1.860333,12:33:17.819,40.068811,12:33:17.819,0.003955,65
12:33:17.820,1.826565,12:33:17.820,39.933739,12:33:17.820,0.003626,65
12:33:17.821,1.877217,12:33:17.821,39.883087,12:33:17.821,0.002969,65
12:33:17.822,1.708377,12:33:17.822,39.984391,12:33:17.822,0.003626,65
12:33:17.823,1.792797,12:33:17.823,39.950623,12:33:17.823,0.003626,65
12:33:17.824,1.742145,12:33:17.824,39.883087,12:33:17.824,0.003626,65
12:33:17.825,1.708377,12:33:17.825,39.798667,12:33:17.825,0.002311,65
12:33:17.826,1.725261,12:33:17.826,39.933739,12:33:17.826,0.001653,65
12:33:17.827,1.623957,12:33:17.827,39.950623,12:33:17.827,0.00264,65
12:33:17.828,1.708377,12:33:17.828,39.916855,12:33:17.828,0.00264,65
12:33:17.829,1.742145,12:33:17.829,39.899971,12:33:17.829,0.003297,65
12:33:17.830,1.759029,12:33:17.830,39.967507,12:33:17.830,0.003297,65
12:33:17.831,1.708377,12:33:17.831,40.001275,12:33:17.831,0.00264,65
12:33:17.832,1.792797,12:33:17.832,39.916855,12:33:17.832,0.002311,65
12:33:17.833,1.775913,12:33:17.833,39.967507,12:33:17.833,0.001982,65
12:33:17.834,1.775913,12:33:17.834,39.984391,12:33:17.834,0.002311,65
12:33:17.835,1.759029,12:33:17.835,40.018159,12:33:17.835,0.00264,65
